id_brut_db,id_anunt_normalizat,id_procedura_finala,relatie
ot:2022/S 233-670481:award-2,670481-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 233-670481:award-3,670481-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 233-670481:award-4,670481-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 233-670481:award-5,670481-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 233-670481:award-6,670481-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 233-670481:award-7,670481-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 233-670481:award-8,670481-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 233-670481:award-9,670481-2022,,exclus: unitate militara fara profil de spital
670736-2022,670736-2022,,exclus: autoritate non-spital
673524-2022,673524-2022,,exclus: autoritate non-spital
ot:2022/S 123-349077:award-1,349077-2022,,exclus: autoritate non-spital
ot:2022/S 123-349077:award-2,349077-2022,,exclus: autoritate non-spital
ot:2022/S 150-426610:award-1,426610-2022,,exclus: autoritate non-spital
ot:2022/S 150-426610:award-2,426610-2022,,exclus: autoritate non-spital
ot:2022/S 150-426610:award-3,426610-2022,,exclus: autoritate non-spital
ot:2022/S 150-426610:award-4,426610-2022,,exclus: autoritate non-spital
ot:2022/S 190-537325:award-1,537325-2022,,exclus: autoritate non-spital
ot:2022/S 199-562192:award-1,562192-2022,,exclus: autoritate non-spital
ot:2022/S 089-242075:award-1,242075-2022,,exclus: autoritate non-spital
ot:SCN1113023:award-1,SCN1113023,,exclus: centru medical ambulatoriu (fara paturi)
ot:SCN1113094:award-1,SCN1113094,,exclus: autoritate non-spital
ot:SCN1113094:award-2,SCN1113094,,exclus: autoritate non-spital
ot:SCN1113094:award-3,SCN1113094,,exclus: autoritate non-spital
ot:SCN1113094:award-4,SCN1113094,,exclus: autoritate non-spital
ot:2022/S 184-518036:award-1,518036-2022,,exclus: autoritate non-spital
ot:2022/S 184-518036:award-2,518036-2022,,exclus: autoritate non-spital
ot:CAN1093552:award-1,CAN1093552,,exclus: autoritate non-spital
684497-2022,684497-2022,,exclus: autoritate non-spital
684598-2022,684598-2022,,exclus: procedura anulata / fara castigator (XML TED)
685286-2022,685286-2022,,exclus: autoritate non-spital
688791-2022,688791-2022,,exclus: autoritate non-spital
689013-2022,689013-2022,,exclus: autoritate non-spital
689917-2022,689917-2022,,exclus: autoritate non-spital
691188-2022,691188-2022,,exclus: autoritate non-spital
ot:2022/S 140-397171:award-1,397171-2022,,exclus: autoritate non-spital
ot:2022/S 140-397171:award-4,397171-2022,,exclus: autoritate non-spital
ot:2022/S 140-397171:award-2,397171-2022,,exclus: autoritate non-spital
ot:2022/S 140-397171:award-3,397171-2022,,exclus: autoritate non-spital
ot:CN1050245:award-1,CN1050245,,exclus: autoritate non-spital
ot:CN1050245:award-2,CN1050245,,exclus: autoritate non-spital
ot:SCN1113342:award-1,SCN1113342,,exclus: autoritate non-spital
691896-2022,691896-2022,,exclus: autoritate non-spital
692156-2022,692156-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 240-692156:award-1,692156-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 240-692156:award-2,692156-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 240-692156:award-3,692156-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 240-692156:award-4,692156-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 240-692156:award-5,692156-2022,,exclus: unitate militara fara profil de spital
692840-2022,692840-2022,,exclus: unitate militara fara profil de spital
693053-2022,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-1,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-10,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-11,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-12,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-13,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-14,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-15,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-2,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-3,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-4,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-5,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-6,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-7,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-8,693053-2022,,exclus: autoritate non-spital
ot:2022/S 240-693053:award-9,693053-2022,,exclus: autoritate non-spital
ot:2022/S 243-702638:award-1,702638-2022,,exclus: autoritate non-spital
702638-2022,702638-2022,,exclus: autoritate non-spital
695981-2022,695981-2022,,exclus: autoritate non-spital
696095-2022,696095-2022,,exclus: autoritate non-spital
696596-2022,696596-2022,,exclus: autoritate non-spital
ot:SCN1107258:award-1,SCN1107258,,exclus: entitate privata (SRL/SA)
ot:SCN1113383:award-1,SCN1113383,,exclus: entitate privata (SRL/SA)
ot:SCN1113366:award-1,SCN1113366,,exclus: entitate privata (SRL/SA)
696936-2022,696936-2022,,exclus: procedura anulata / fara castigator (XML TED)
697596-2022,697596-2022,,exclus: procedura anulata / fara castigator (XML TED)
699325-2022,699325-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 243-699325:award-1,699325-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 243-699325:award-2,699325-2022,,exclus: unitate militara fara profil de spital
ot:2022/S 243-699325:award-3,699325-2022,,exclus: unitate militara fara profil de spital
700747-2022,700747-2022,,exclus: autoritate non-spital
702492-2022,702492-2022,,exclus: procedura anulata / fara castigator (XML TED)
702720-2022,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-1,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-10,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-11,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-12,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-13,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-14,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-15,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-16,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-17,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-18,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-19,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-2,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-20,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-21,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-22,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-23,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-24,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-3,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-4,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-5,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-6,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-7,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-8,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2022/S 243-702720:award-9,702720-2022,,exclus: procedura anulata / fara castigator (XML TED)
702820-2022,702820-2022,,exclus: autoritate non-spital
703300-2022,703300-2022,,exclus: autoritate non-spital
ot:2022/S 213-610177:award-1,610177-2022,,exclus: unitate militara fara profil de spital
ot:SCN1111991:award-1,SCN1111991,,exclus: autoritate non-spital
ot:SCN1111991:award-2,SCN1111991,,exclus: autoritate non-spital
ot:SCN1111991:award-3,SCN1111991,,exclus: autoritate non-spital
ot:SCN1111991:award-4,SCN1111991,,exclus: autoritate non-spital
ot:SCN1111991:award-5,SCN1111991,,exclus: autoritate non-spital
ot:SCN1111991:award-6,SCN1111991,,exclus: autoritate non-spital
ot:SCN1111991:award-7,SCN1111991,,exclus: autoritate non-spital
ot:SCN1111991:award-8,SCN1111991,,exclus: autoritate non-spital
706639-2022,706639-2022,,exclus: autoritate non-spital
ot:CN1046027:award-1,CN1046027,,exclus: autoritate non-spital
ot:SCN1111803:award-1,SCN1111803,,exclus: autoritate non-spital
ot:2022/S 197-559301:award-1,559301-2022,,exclus: autoritate non-spital
ot:2022/S 197-559301:award-2,559301-2022,,exclus: autoritate non-spital
ot:2022/S 197-559301:award-3,559301-2022,,exclus: autoritate non-spital
ot:2022/S 197-559301:award-4,559301-2022,,exclus: autoritate non-spital
711441-2022,711441-2022,,exclus: autoritate non-spital
711565-2022,711565-2022,,exclus: autoritate non-spital
712474-2022,712474-2022,,exclus: autoritate non-spital
712898-2022,712898-2022,,exclus: autoritate non-spital
ot:2020/S 178-429747:award-1,429747-2020,,exclus: autoritate non-spital
ot:SCN1118591:award-1,SCN1118591,,exclus: autoritate non-spital
ot:SCN1118591:award-2,SCN1118591,,exclus: autoritate non-spital
ot:SCN1118591:award-3,SCN1118591,,exclus: autoritate non-spital
ot:SCN1118591:award-4,SCN1118591,,exclus: autoritate non-spital
ot:SCN1118611:award-1,SCN1118611,,exclus: autoritate non-spital
ot:SCN1118611:award-2,SCN1118611,,exclus: autoritate non-spital
ot:SCN1118611:award-3,SCN1118611,,exclus: autoritate non-spital
ot:SCN1118638:award-1,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-10,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-11,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-12,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-13,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-14,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-2,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-3,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-4,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-5,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-6,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-7,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-8,SCN1118638,,exclus: autoritate non-spital
ot:SCN1118638:award-9,SCN1118638,,exclus: autoritate non-spital
715042-2022,715042-2022,,exclus: autoritate non-spital
715315-2022,715315-2022,,exclus: autoritate non-spital
715619-2022,715619-2022,,exclus: autoritate non-spital
ot:2022/S 248-715619:award-2,715619-2022,,exclus: autoritate non-spital
ot:2022/S 248-715619:award-1,715619-2022,,exclus: autoritate non-spital
716926-2022,716926-2022,,exclus: autoritate non-spital
717110-2022,717110-2022,,exclus: autoritate non-spital
ot:2022/S 248-717110:award-1,717110-2022,,exclus: autoritate non-spital
ot:2022/S 248-717110:award-2,717110-2022,,exclus: autoritate non-spital
ot:2022/S 248-717110:award-3,717110-2022,,exclus: autoritate non-spital
ot:2022/S 248-717110:award-4,717110-2022,,exclus: autoritate non-spital
ot:2022/S 248-717110:award-5,717110-2022,,exclus: autoritate non-spital
ot:2022/S 248-717110:award-6,717110-2022,,exclus: autoritate non-spital
ot:2022/S 248-717110:award-7,717110-2022,,exclus: autoritate non-spital
ot:2022/S 248-717110:award-8,717110-2022,,exclus: autoritate non-spital
717412-2022,717412-2022,,exclus: autoritate non-spital
719713-2022,719713-2022,,exclus: unitate militara fara profil de spital
720260-2022,720260-2022,,exclus: unitate militara fara profil de spital
721205-2022,721205-2022,,exclus: autoritate non-spital
ot:SCN1111901:award-1,SCN1111901,,exclus: autoritate non-spital
ot:SCN1113900:award-1,SCN1113900,,exclus: autoritate non-spital
ot:SCN1113900:award-2,SCN1113900,,exclus: autoritate non-spital
ot:SCN1113900:award-3,SCN1113900,,exclus: autoritate non-spital
728654-2022,728654-2022,,exclus: autoritate non-spital
ot:CN1050743:award-1,CN1050743,,exclus: autoritate non-spital
ot:CN1050743:award-2,CN1050743,,exclus: autoritate non-spital
731089-2022,731089-2022,,exclus: autoritate non-spital
ot:2023/S 021-058871:award-1,58871-2023,,exclus: autoritate non-spital
ot:2023/S 021-058871:award-2,58871-2023,,exclus: autoritate non-spital
ot:2023/S 021-058871:award-3,58871-2023,,exclus: autoritate non-spital
ot:2023/S 021-058871:award-4,58871-2023,,exclus: autoritate non-spital
ot:2023/S 021-058871:award-5,58871-2023,,exclus: autoritate non-spital
58871-2023,58871-2023,,exclus: autoritate non-spital
ot:SCN1108857:award-1,SCN1108857,,exclus: autoritate non-spital
ot:SCN1112715:award-1,SCN1112715,,exclus: autoritate non-spital
ot:SCN1114088:award-1,SCN1114088,,exclus: institut de cercetare / fara paturi de spital
ot:SCN1117469:award-1,SCN1117469,,exclus: autoritate non-spital
ot:SCN1118929:award-1,SCN1118929,,exclus: autoritate non-spital
ot:SCN1118929:award-2,SCN1118929,,exclus: autoritate non-spital
733154-2022,733154-2022,,exclus: autoritate non-spital
734410-2022,734410-2022,,exclus: autoritate non-spital
734627-2022,734627-2022,,exclus: autoritate non-spital
734806-2022,734806-2022,,exclus: procedura anulata / fara castigator (XML TED)
ot:2023/S 032-093861:award-4,93861-2023,,exclus: autoritate non-spital
ot:2023/S 032-093861:award-5,93861-2023,,exclus: autoritate non-spital
ot:2023/S 032-093861:award-1,93861-2023,,exclus: autoritate non-spital
ot:2023/S 032-093861:award-2,93861-2023,,exclus: autoritate non-spital
ot:2023/S 032-093861:award-3,93861-2023,,exclus: autoritate non-spital
ot:2023/S 060-175757:award-1,175757-2023,,exclus: autoritate non-spital
ot:2023/S 060-175757:award-4,175757-2023,,exclus: autoritate non-spital
ot:2023/S 060-175757:award-2,175757-2023,,exclus: autoritate non-spital
ot:2023/S 060-175757:award-3,175757-2023,,exclus: autoritate non-spital
ot:CN1050871:award-1,CN1050871,,exclus: autoritate non-spital
129-2023,129-2023,,exclus: autoritate non-spital
131-2023,131-2023,,exclus: procedura anulata / fara castigator (XML TED)
484-2023,484-2023,,exclus: autoritate non-spital
774-2023,774-2023,,exclus: autoritate non-spital
4298-2023,4298-2023,,exclus: autoritate non-spital
5040-2023,5040-2023,,exclus: procedura anulata / fara castigator (XML TED)
6251-2023,6251-2023,,exclus: autoritate non-spital
ot:2023/S 004-006880:award-1,6880-2023,,exclus: autoritate non-spital
ot:2023/S 004-006880:award-2,6880-2023,,exclus: autoritate non-spital
ot:2023/S 004-006880:award-3,6880-2023,,exclus: autoritate non-spital
ot:2023/S 004-006880:award-4,6880-2023,,exclus: autoritate non-spital
ot:2023/S 004-006880:award-5,6880-2023,,exclus: autoritate non-spital
ot:2023/S 004-006880:award-6,6880-2023,,exclus: autoritate non-spital
7936-2023,7936-2023,,exclus: autoritate non-spital
8593-2023,8593-2023,,exclus: autoritate non-spital
9717-2023,9717-2023,,exclus: autoritate non-spital
ot:2023/S 005-009717:award-1,9717-2023,,exclus: autoritate non-spital
ot:2023/S 005-009717:award-2,9717-2023,,exclus: autoritate non-spital
ot:2023/S 005-009717:award-3,9717-2023,,exclus: autoritate non-spital
13272-2023,13272-2023,,exclus: autoritate non-spital
ot:2022/S 010-021995:award-1,21995-2022,,exclus: entitate privata (SRL/SA)
65753-2024,65753-2024,,exclus: autoritate non-spital
ot:CAN1095892:award-1,CAN1095892,,exclus: autoritate non-spital
ot:SCN1119287:award-1,SCN1119287,,exclus: autoritate non-spital
ot:SCN1119287:award-2,SCN1119287,,exclus: autoritate non-spital
ot:SCN1119287:award-3,SCN1119287,,exclus: autoritate non-spital
ot:SCN1119287:award-4,SCN1119287,,exclus: autoritate non-spital
20134-2023,20134-2023,,exclus: autoritate non-spital
20593-2023,20593-2023,,exclus: unitate militara fara profil de spital
20819-2023,20819-2023,,exclus: unitate militara fara profil de spital
22092-2023,22092-2023,,exclus: autoritate non-spital
22331-2023,22331-2023,,exclus: unitate militara fara profil de spital
ot:2023/S 010-022331:award-1,22331-2023,,exclus: unitate militara fara profil de spital
25785-2023,25785-2023,,exclus: unitate militara fara profil de spital
