id_anunt,autoritate,castigator,valoare_ron,data,motiv_excludere
513840-2023,MUNICIPIUL RAMNICU VALCEA,KLINTENSIV / SIGNAL SPECTRUM,2673460,2023-08-09,autoritate non-spital
292952-2023,ORASUL HATEG,,1164825,2023-08-10,autoritate non-spital
662832-2023,JUDETUL ARGES,CATTUS S.R.L. / DVC MEDICAL VISION SRL / HALMADENT SRL / IT HERO TECHNOLOGIES S.R.L. / MEDICAL DEVICE STORE SRL / MEDIST IMAGING & P.O.C. S.R.L. / REO MEDICAL APARATURA MEDICALA,1866002,2023-08-10,autoritate non-spital
SCN1129583,Orasul Gura Humorului,HISTRIA INTERNATIONAL S.R.L. / ANA INVEST & RESEARCH / EURODIDACTICA S.R.L.,459951,2023-08-10,autoritate non-spital
487348-2023,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,A.M.S. 2000 TRADING IMPEX S.R.L. / ANTISEL RO SRL / BIOGENETIX S.R.L. / CLINI-LAB / DIALAB SOLUTIONS / DIAMEDIX IMPEX / Elta 90 Medical Research SRL / MEDIST LIFE SCIENCE S.R.L. / MOLECULAR GENOMICS S.R.L. / Novaintermed S.R.L. / Omnivet Impex S.R.L. / ROM TECH S.R.L.,4300623,2023-08-11,institut de cercetare / fara paturi de spital
489097-2023,JUDETUL GIURGIU,ANDCOR S.R.L. / CATTUS / RIDA S SRL / S.C. MED TEHNICA SRL S.R.L.,1025610,2023-08-11,autoritate non-spital
489197-2023,SERVICIUL DE AMBULANTA JUDETEAN PRAHOVA,S.C. DELTAMED S.R.L.,390328,2023-08-11,autoritate non-spital
489767-2023,MUNICIPIUL VULCAN,CARO INTERNATIONAL S.R.L. / DTL Medical SRL / S.C. EDITRONIC INTERNATIONAL S.R.L.,2088980,2023-08-11,autoritate non-spital
491028-2023,Municipiul Sibiu,GISCO MED / LIAMED / Medical Corp S.R.L. / NOVA TECH MED,53773,2023-08-11,autoritate non-spital
CN1058421,ADMINISTRATIA REZERVATIEI BIOSFEREI DELTA DUNARII,S.C. NAMICON- TESTING S.R.L. S.R.L.,1920,2023-08-13,autoritate non-spital
492802-2023,ORASUL HATEG,EDITRONIC INTERNATIONAL,1021870,2023-08-14,autoritate non-spital
496471-2023,JUDETUL SALAJ,,6278971,2023-08-14,autoritate non-spital
SCN1124293,Asociatia Dezvoltare si Psihoterapie prin Actiune,HOPE PROMO,242887,2023-08-15,autoritate non-spital
498847-2023,SERVICIUL JUDETEAN DE AMBULANTA ARGES,,3165510,2023-08-16,autoritate non-spital
SCN1129809,Directia Generala de Asistenta Sociala si Protectia Copilului Arges,ANA INVEST & RESEARCH / INFINITY M&S MANAGEMENT S.R.L. / DIMI MAN CONF / S.C. TRANSLIMA SRL S.R.L. / MOBTECO PRODUCT S.R.L.,273962,2023-08-16,autoritate non-spital
SCN1129844,Consiliul Judetean Dambovita,SAFETY TECHNOLOGY / MOBTECO PRODUCT S.R.L.,398304,2023-08-17,autoritate non-spital
SCN1129952,Institutul National de Medicina Legala Mina Minovici,Altium International SRL / EMSAR S.R.L. / Filara BioMed SRL / S.C. MUSO S.R.L. / PARTNERS MEDICAL SOLUTION S.R.L. / SYNTTERGY CONSULT S.R.L. / Tody Laboratories Int / DIALAB SOLUTIONS / LABORSISTEM S.R.L. / S.C. DELTAMED S.R.L. / BIO AQUA GROUP / VETRO DESIGN / TUNIC PROD S.R.L.,,2023-08-18,autoritate non-spital
503987-2023,ORASUL CHITILA (CONSILIUL LOCAL CHITILA),ABB Medtec / BPM TEHNOLOGICA / INMEDICA SMART SOLUTIONS / MED HEALTHCARE PROJECT / ULTRASONIC,12440077,2023-08-21,autoritate non-spital
505615-2023,ORASUL CHITILA (CONSILIUL LOCAL CHITILA),INMEDICA SMART SOLUTIONS,500297,2023-08-21,autoritate non-spital
506443-2023,Spitalul Municipal Odorheiu Secuiesc,,6335726,2023-08-22,procedura anulata / fara castigator (confirmat in XML TED)
507167-2023,Judetul Brasov,ELECTRONIC SECURITY SYSTEMS SRL / KARL STORZ ENDOSCOPIA ROMANIA / MEDIST IMAGING & P.O.C. S.R.L. / NOVOMED INTERNATIONAL SRL,1037000,2023-08-22,autoritate non-spital
507751-2023,SERVICIUL DE AMBULANTA JUDETEAN CONSTANTA,AVA MEDICAL SERVICES SRL / ENGLOBER S.R.L. / HELLIMED / LUAN VISION / MEDCLAS TRADING S.R.L. / MERCATOR MEDICAL / NAFKA GRUP / SANROTEX TRADING SRL / TAISSIS CONCEPT / TMS - TOP MEDICAL SUPPLIER / VALDOMEDICA TRADING / VETRO DESIGN / ZARYS INTERNATIONAL GROUP MEDICAL EQUIPMENT S.R.L.,521422,2023-08-22,autoritate non-spital
603874-2024,"Universitatea de Medicina si Farmacie ""Iuliu Hatieganu"" Cluj-Napoca",DENTAL PARTNER'S GRUP / Nastimed Serv / TEHNICAL DENT / TEHNODENT POKA S.R.L.,1077220,2023-08-22,autoritate non-spital
SCNA1090997,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Buzau,MEDICLIM S.R.L.,196350,2023-08-22,autoritate non-spital
509161-2023,CORAX-BIONER CEU,Altium International SRL / BIO AQUA GROUP / TEKNOLEB LABORATORY SRL,567063,2023-08-23,autoritate non-spital
510728-2023,CONSILIUL JUDETEAN GORJ,MEDIST LIFE SCIENCE S.R.L. / Medical Gazplus / SMART MEDICAL SOLUTIONS S.R.L.,426238,2023-08-23,autoritate non-spital
275000-2023,MUNICIPIUL DOROHOI,,2142744,2023-08-23,autoritate non-spital
