id_anunt,autoritate,castigator,valoare_ron,data,motiv_excludere
CAN1044315,JUDETUL MEHEDINTI,DACORUM GRUP,198000,2020-11-06,autoritate non-spital
CAN1044316,JUDETUL MEHEDINTI,ANA CONCEPT,7000,2020-11-06,autoritate non-spital
CAN1044328,JUDETUL MEHEDINTI,DACORUM GRUP,33700,2020-11-06,autoritate non-spital
CAN1044331,JUDETUL MEHEDINTI,ANA CONCEPT,3000,2020-11-06,autoritate non-spital
CAN1044334,JUDETUL MEHEDINTI,DACORUM GRUP,156000,2020-11-06,autoritate non-spital
CAN1042614,Directia de Sanatate Publica Buzau,DEXTER COM S.R.L.,4700,2020-11-09,autoritate non-spital
CAN1044406,JUDETUL MEHEDINTI,X-Lab Solutions S.R.L.,20000,2020-11-09,autoritate non-spital
CAN1044451,JUDETUL MEHEDINTI,PRIMERA MED TECHNOLOGY,19100,2020-11-09,autoritate non-spital
CAN1044452,JUDETUL MEHEDINTI,ANA CONCEPT,30000,2020-11-09,autoritate non-spital
CAN1044453,JUDETUL MEHEDINTI,DACORUM GRUP,207000,2020-11-09,autoritate non-spital
CAN1044454,JUDETUL MEHEDINTI,DACORUM GRUP,198000,2020-11-09,autoritate non-spital
CAN1044456,JUDETUL MEHEDINTI,ANA CONCEPT,7000,2020-11-09,autoritate non-spital
CAN1044457,JUDETUL MEHEDINTI,DACORUM GRUP,33700,2020-11-09,autoritate non-spital
CAN1044458,JUDETUL MEHEDINTI,ANA CONCEPT,3000,2020-11-09,autoritate non-spital
CAN1044459,JUDETUL MEHEDINTI,DACORUM GRUP,156000,2020-11-09,autoritate non-spital
CAN1044460,JUDETUL MEHEDINTI,BROKMED S.R.L.,13920,2020-11-09,autoritate non-spital
CAN1044461,JUDETUL MEHEDINTI,MEDICARE TECHNICS,203350,2020-11-09,autoritate non-spital
CAN1044462,JUDETUL MEHEDINTI,B. BRAUN AVITUM S.R.L.,48890,2020-11-09,autoritate non-spital
CAN1044463,JUDETUL MEHEDINTI,BTL ROMANIA APARATURA MEDICALA S.R.L.,32700,2020-11-09,autoritate non-spital
CN1026083,MUNICIPIUL CONSTANTA,BEST ACHIZITII / MMTOP SAFE,43623,2020-11-09,autoritate non-spital
SCN1068662,SOCIETATEA DE DISTRIBUTIE A ENERGIEI ELECTRICE MUNTENIA NORD S.A.,MW ILMED,387396,2020-11-09,entitate privata (SRL/SA)
138306-2020,MUNICIPIUL ORSOVA,,3974043,2020-11-10,autoritate non-spital
CN1026029,Municipiul Cluj-Napoca,VODIMEDICOR S.R.L. / S.C. DRAGER MEDICAL ROMANIA S.R.L. S.R.L.,110630,2020-11-10,autoritate non-spital
CAN1044619,SERVICIUL DE AMBULANTA JUDETEAN SATU MARE,ESMED GROUP,98800,2020-11-11,autoritate non-spital
CAN1044636,Directia de Sanatate Publica Buzau,DIALAB SOLUTIONS,220000,2020-11-11,autoritate non-spital
SCN1072557,Ministerul Afacerilor Externe,NAGUMA MEDICAL SUPPLY,61200,2020-11-11,autoritate non-spital
SCN1074021,COMUNA COSULA (PRIMARIA COSULA),BISCOP SRL,545693,2020-11-11,autoritate non-spital
SCN1078561,"UNIVERSITATEA DE MEDICINA SI FARMACIE ""VICTOR BABES"" DIN TIMISOARA",TEHNODENT POKA S.R.L.,16700,2020-11-11,autoritate non-spital
SCN1078605,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR ARAD,NITECH S.R.L. / A.M.S. 2000 TRADING IMPEX S.R.L. / LABEXPERT SERVICE / Omnivet Impex S.R.L.,232810,2020-11-11,autoritate non-spital
CAN1044721,Directia Generala de Asistenta Sociala si Protectia Copilului Olt,NAGUMA MEDICAL SUPPLY,1200,2020-11-12,autoritate non-spital
CAN1044723,Directia Generala de Asistenta Sociala si Protectia Copilului Olt,SH MEDICAL SRL,16000,2020-11-12,autoritate non-spital
CAN1044724,Directia Generala de Asistenta Sociala si Protectia Copilului Olt,PROFIPACK,3800,2020-11-12,autoritate non-spital
SCN1068687,SOCIETATEA DE DISTRIBUTIE A ENERGIEI ELECTRICE MUNTENIA NORD S.A.,INNOVATIVE TEX SOLUTIONS,38500,2020-11-12,entitate privata (SRL/SA)
SCN1078664,Centrul Român pentru Pregatirea si Perfectionarea Personalului din Transporturi Navale,S.C. ALPINPOLARIS S.R.L. / EUROTOTAL COMP,307040,2020-11-12,autoritate non-spital
593245-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Farmatin Medical,3116800,2020-11-13,autoritate non-spital
596972-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Adion Prodimpextrans S.R.L.,2540000,2020-11-13,autoritate non-spital
596997-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,LIAMED,1564000,2020-11-13,autoritate non-spital
597111-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Dacorum Grup,4400000,2020-11-13,autoritate non-spital
597137-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,PRO Cardia,2200000,2020-11-13,autoritate non-spital
597138-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,DUTCHMED S.R.L.,2580000,2020-11-13,autoritate non-spital
597154-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Proton Impex 2000,2398000,2020-11-13,autoritate non-spital
597219-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Hellimed,4344000,2020-11-13,autoritate non-spital
SCN1078716,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR DOLJ,NOVA GROUP INVESTMENT / NITECH S.R.L. / WATT DISTRIBUTOR S.R.L.,185830,2020-11-13,autoritate non-spital
SCN1072629,CONSILIUL LOCAL PALTINIS,INFO MED EXPERT S.R.L.,28676,2020-11-14,autoritate non-spital
548239-2020,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,A.M.S. 2000 TRADING IMPEX S.R.L. / ANTISEL RO SRL / BIOMEDICA MEDIZINPRODUKTE ROMANIA SRL / DEXTER COM S.R.L. / DIALAB SOLUTIONS / Elta 90 Medical Research SRL / MEDIST LIFE SCIENCE S.R.L. / Novaintermed S.R.L. / Omnivet Impex S.R.L.,9278033,2020-11-16,institut de cercetare / fara paturi de spital
611976-2020,Direcția de Sănătate Publică a Municipiului București,Deltarom S.R.L.,682500,2020-11-16,autoritate non-spital
SCN1078812,MUNICIPIUL ALEXANDRIA,NAGUMA MEDICAL SUPPLY,2850,2020-11-16,autoritate non-spital
SCN1078845,PENITENCIARUL MIOVENI,BIZMED SRL / SANROTEX TRADING SRL,341332,2020-11-17,autoritate non-spital
601377-2020,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,Antisel RO,700000,2020-11-18,institut de cercetare / fara paturi de spital
601401-2020,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,Novaintermed S.R.L.,1616748,2020-11-18,institut de cercetare / fara paturi de spital
CAN1045054,DIRECTIA DE SANATATE PUBLICA A MUNICIPIULUI BUCURESTI,SANIMED INTERNATIONAL IMPEX S.R.L.,52031,2020-11-18,autoritate non-spital
CAN1045235,UNITATEA MILITARA 0565 BISTRITA - JANDARMERIA,MILENIUM EXPERT FINANCE,17918,2020-11-20,unitate militara fara profil de spital
SCN1072678,MUNICIPIUL BAIA MARE,Nastimed Serv,84052,2020-11-20,autoritate non-spital
563990-2020,Serviciul de Ambulanță Județean Satu Mare,B.Braun Medical / Limas Group S.R.L. / Luan Vision / Medimpact / Ricomed / TZMO România / Tehno Electro Medical Company S.R.L.,5795303,2020-11-24,autoritate non-spital
564047-2020,Serviciul de Ambulanta Judetean Vaslui,ARTISANA MEDICAL S.R.L. / BIZMED SRL / COMPANIA NATIONALA UNIFARM / CRIO - 2 S.R.L. / DELTAMED / FRESENIUS KABI ROMANIA / GRAZY PRICE MEDICAL IMPORT EXPORT S.R.L. / HELLIMED / JOLIDON INTERNATIONAL / LUAN VISION / Limas Group S.R.L. / MEDCLAS TRADING S.R.L. / MEDICAL GRUP / MEDIMPACT / MEDIST IMAGING & P.O.C. S.R.L. / NAFKA GRUP / Pansiprod Distributie / S.C. MEDCLAS TRADING S.R.L. S.R.L. / S.C. NERAMO DISTRIBUTION S.R.L. / S.C.MEDICAL GRUP S.R.L. / THREE PHARM / TZMO ROMANIA / VALDOMEDICA TRADING,1950228,2020-11-24,autoritate non-spital
590502-2020,Orașul Vișeu de Sus,BPM Tehnologica,5395331,2020-11-24,autoritate non-spital
CAN1045401,SERVICIUL DE AMBULANTA JUDETEAN VRANCEA,BRIFARM,200515,2020-11-24,autoritate non-spital
CAN1045414,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6,S.I.A.T. Consulting Service,29000,2020-11-24,autoritate non-spital
CN1023078,DISTRIBUȚIE ENERGIE ELECTRICĂ ROMANIA S.A.,DELTA MOBIL,360960,2020-11-24,entitate privata (SRL/SA)
SCN1073300,MUNICIPIUL BACAU,BEST ACHIZITII,9300,2020-11-24,autoritate non-spital
SCN1067012,MUNICIPIUL TARGOVISTE,OVAMED EXPERT S.R.L.,10327,2020-11-26,autoritate non-spital
SCN1079402,Institutul National de Medicina Legala Mina Minovici,MEDIMPACT / S.C. ADAR UNIC SOLUTIONS S.R.L. / DELUXE MEDICRAFTS / INEDIT CLEAN TOTAL,126543,2020-11-26,autoritate non-spital
CAN1045621,SERVICIUL DE AMBULANTA JUDETEAN IASI,VALDOMEDICA TRADING,13750,2020-11-27,autoritate non-spital
CAN1045625,SERVICIUL DE AMBULANTA JUDETEAN IASI,MEDICAL GRUP,2270,2020-11-27,autoritate non-spital
CAN1045632,SERVICIUL DE AMBULANTA JUDETEAN IASI,ALPHA BRIO MEDICAL S.R.L.,22820,2020-11-27,autoritate non-spital
CAN1045635,ORAS OTOPENI,SMART PREST SOLUTION,21500,2020-11-27,autoritate non-spital
CN1026531,SERVICIUL JUDETEAN DE AMBULANTA GORJ,PRODCONFARM S.R.L. / ROVAL MED / BIZMED / CO&CO Consumer 2002 S.R.L. / BEST ACHIZITII / ALPHA NED 2000 EXIM / TAISSIS CONCEPT / TMS - TOP MEDICAL SUPPLIER / LUAN VISION / BIOLAB SCIENTIFIC SRL / NAFKA GRUP S.R.L. / ATLAS MEDICAL / MEDICAL GRUP / DELUXE MEDICRAFTS / SH MEDICAL SRL / CRIO - 2 S.R.L. / VALDOMEDICA TRADING,,2020-11-27,autoritate non-spital
SCN1071640,DIRECTIA GENERALA ASISTENTA SOCIALA CONSTANTA,BTL ROMANIA APARATURA MEDICALA S.R.L.,48500,2020-11-27,autoritate non-spital
SCN1077327,DIRECTIA POLITIEI LOCALE TIMISOARA,BEST ACHIZITII,17000,2020-11-27,autoritate non-spital
CN1026601,JUDETUL CARAS-SEVERIN,Hospital Technical Solutions,479350,2020-12-01,autoritate non-spital
SCN1071997,MINISTERUL APARARII - UNITATEA MILITARA 02464 BUCURESTI,PRIMERA MED TECHNOLOGY,,2020-12-01,unitate militara fara profil de spital
SCN1073707,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR ALBA,ANALYTIK-JENA-ROMANIA S.R.L.,278200,2020-12-01,autoritate non-spital
SCN1079573,Cresa pentru Educatie Timpurie,OVIVA DISTRIBUTION S.R.L. / H.B.P. EKO DISTRIBUTION,313253,2020-12-02,autoritate non-spital
CAN1045805,Banca Nationala a Romaniei,GENERAL MEDICALS ACTIVE SRL,72000,2020-12-03,autoritate non-spital
CAN1045808,Banca Nationala a Romaniei,GENERAL MEDICALS ACTIVE SRL,16940,2020-12-03,autoritate non-spital
CAN1045812,Banca Nationala a Romaniei,GENERAL MEDICALS ACTIVE SRL,29975,2020-12-03,autoritate non-spital
CAN1045814,Banca Nationala a Romaniei,GENERAL MEDICALS ACTIVE SRL,8800,2020-12-03,autoritate non-spital
CAN1045820,Banca Nationala a Romaniei,DOLEX COM,586710,2020-12-03,autoritate non-spital
CAN1045824,Banca Nationala a Romaniei,DOLEX COM,84000,2020-12-03,autoritate non-spital
CAN1045826,Banca Nationala a Romaniei,DOLEX COM,94554,2020-12-03,autoritate non-spital
CAN1045828,Banca Nationala a Romaniei,DOLEX COM,45900,2020-12-03,autoritate non-spital
SCN1079636,DIRECTIA DE ASISTENTA SOCIALA PIATRA NEAMT,G&M 2000 S.R.L. / S.C. ALISON HAYES (ROMANIA) S.R.L.,6905,2020-12-03,autoritate non-spital
596851-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Linde Gaz România S.R.L.,3127625,2020-12-04,autoritate non-spital
606836-2020,JUDETUL GALATI,Proton Impex 2000 S.R.L. / S.C. ELMED MEDICAL S.R.L.,1111408,2020-12-04,autoritate non-spital
CAN1045902,"Centrul Medical De Diagnostic Si Tratament Ambulatoriu ""Dr. Nicolae Kretzulescu""",STIP PRODEXPO S.R.L.,840,2020-12-04,centru medical ambulatoriu (fara paturi)
CAN1045905,"Centrul Medical De Diagnostic Si Tratament Ambulatoriu ""Dr. Nicolae Kretzulescu""",NERAMO DISTRIBUTION,42960,2020-12-04,centru medical ambulatoriu (fara paturi)
CAN1045906,"Centrul Medical De Diagnostic Si Tratament Ambulatoriu ""Dr. Nicolae Kretzulescu""",AXEL PROJECT SRL,37600,2020-12-04,centru medical ambulatoriu (fara paturi)
CAN1045970,MUNICIPIUL ALBA IULIA,3D DERATIZARE,119400,2020-12-04,autoritate non-spital
364682-2020,ORASUL SINAIA (Primaria Orasului Sinaia),,7112975,2020-12-07,autoritate non-spital
488059-2020,"Universitatea de Medicina si Farmacie ""Iuliu Hatieganu"" Cluj-Napoca",,1009000,2020-12-07,autoritate non-spital
CAN1046003,INSTITUTUL NATIONAL CERCETARE DEZVOLTARE PENTRU ECOLOGIE INDUSTRIALA,SOLAGEN LABORATORY,1056,2020-12-07,institut de cercetare / fara paturi de spital
CAN1046006,INSTITUTUL NATIONAL CERCETARE DEZVOLTARE PENTRU ECOLOGIE INDUSTRIALA,TOPOMEV OPTOSCIENCE,2344,2020-12-07,institut de cercetare / fara paturi de spital
CAN1046010,INSTITUTUL NATIONAL CERCETARE DEZVOLTARE PENTRU ECOLOGIE INDUSTRIALA,Agilrom Scientific,2251,2020-12-07,institut de cercetare / fara paturi de spital
CAN1046077,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,ANTISEL RO SRL,198150,2020-12-07,institut de cercetare / fara paturi de spital
CAN1046082,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,Elta 90 Medical Research SRL,140000,2020-12-07,institut de cercetare / fara paturi de spital
CAN1046084,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,DEXTER COM S.R.L.,307000,2020-12-07,institut de cercetare / fara paturi de spital
SCN1075638,Politia Locala Sector 2,FINAL MANAGEMENT SOLUTION,88970,2020-12-07,autoritate non-spital
489143-2020,Inspectoratul Școlar Județean Vaslui,,1506050,2020-12-08,autoritate non-spital
606804-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,MCM Eva S.R.L.,91500000,2020-12-08,autoritate non-spital
606908-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,HDL Union,13320000,2020-12-08,autoritate non-spital
629046-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Med Healthcare Project,82500000,2020-12-08,autoritate non-spital
629048-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,E Duman Concept,57900000,2020-12-08,autoritate non-spital
629107-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Pastel Diagnostic Solutions,107310000,2020-12-08,autoritate non-spital
CAN1046151,MUNICIPIUL ALBA IULIA,Filara BioMed SRL,119400,2020-12-08,autoritate non-spital
CAN1046175,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,Nova Fit 2000 S.R.L.,73600,2020-12-08,institut de cercetare / fara paturi de spital
CAN1046185,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,ANALYTIK-JENA-ROMANIA S.R.L.,145000,2020-12-08,institut de cercetare / fara paturi de spital
CAN1046187,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,Novaintermed S.R.L.,120035,2020-12-08,institut de cercetare / fara paturi de spital
CAN1046207,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,AVENA MEDICA S.R.L.,62500,2020-12-08,institut de cercetare / fara paturi de spital
CAN1046218,PENITENCIARUL GALATI,Mida Soft Business,65000,2020-12-08,autoritate non-spital
CAN1046219,PENITENCIARUL GALATI,PLASTIC PROD,14000,2020-12-08,autoritate non-spital
CAN1046347,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Cluj,Noack Romania S.R.L.,18800,2020-12-09,autoritate non-spital
22022-2021,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Deltamed,,2020-12-10,autoritate non-spital
22086-2021,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Air Liquide Vitalaire România,,2020-12-10,autoritate non-spital
22096-2021,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Medical Gazplus,,2020-12-10,autoritate non-spital
22098-2021,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Deltamed,,2020-12-10,autoritate non-spital
CN1026779,ACADEMIA DE STUDII ECONOMICE BUCURESTI,FLYNG IMPEX S.R.L. / DOLEX COM,,2020-12-11,autoritate non-spital
CN1026842,Directia Generala de Asistenta Sociala si Protectia Copilului Timis,IRIKA KNITTING / FARMEC / ATLAS MEDICAL / CRIO - 2 S.R.L. / PROHEALTH MED,2046240,2020-12-12,autoritate non-spital
SCN1078201,Directia Generala de Asistenta Sociala si Protectia Copilului Timis,CORPORATION ROM-CONS EQUIPMENT,8340,2020-12-12,autoritate non-spital
SCN1076400,Directia Generala de Asistenta Sociala si Protectia Copilului Gorj,GAMIATRICOS COM SRL,47844,2020-12-13,autoritate non-spital
SCN1080072,S.N. AEROPORTUL INTERNATIONAL TIMISOARA TRAIAN VUIA S.A.,GLISSANDO S.R.L. / ATLAS MEDICAL,130550,2020-12-14,entitate privata (SRL/SA)
233110-2021,Orașul Vălenii de Munte (Primăria Vălenii de Munte),Amrix Technologies S.R.L. / BPM Tehnologica / Cortech Med S.R.L. / Mediq Innovative Technologies S.R.L. / SRM Medical,3382044,2020-12-15,autoritate non-spital
SCN1074474,"SNTFC ""CFR CALATORI"" S.A.",BEST ACHIZITII,2698,2020-12-15,entitate privata (SRL/SA)
SCN1080202,JUDETUL IASI,NERAMO DISTRIBUTION,3584,2020-12-16,autoritate non-spital
540209-2020,Inspectoratul Școlar Județean Mureș,,780888,2020-12-17,autoritate non-spital
CAN1047004,Directia Generala de Asistenta Sociala si Protectia Copilului Gorj,PURAMA,11000,2020-12-17,autoritate non-spital
SCN1080260,Societatea COMPLEXUL ENERGETIC OLTENIA SA,AMIA INVEST / S.C. Natural Es-medical S.R.L S.R.L.,173342,2020-12-18,entitate privata (SRL/SA)
SCN1076626,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR NEAMT,NOVA GROUP INVESTMENT,50520,2020-12-20,autoritate non-spital
SCN1078542,Ministerul Apararii Nationale - Unitatea Militara 01836,ATLAS SPORT,308000,2020-12-20,unitate militara fara profil de spital
640457-2020,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,BPM Tehnologica S.R.L.,25845000,2020-12-21,autoritate non-spital
149884-2021,Orasul Zarnesti (Primaria Orasului Zarnesti),ARGUS OPTIK S.R.L. / BROKMED / BTL ROMANIA APARATURA MEDICALA S.R.L. / ICEMED / LIAMED / MEDIQ INNOVATIVE TECHNOLOGIES SRL / MEDIST IMAGING & P.O.C. S.R.L. / MOBTECO PRODUCT S.R.L. / RIDA S SRL / S.C. ELMED MEDICAL S.R.L. / SIEMENS HEALTHCARE SRL,7430859,2020-12-21,autoritate non-spital
CAN1047197,Directia Generala de Asistenta Sociala si Protectia Copilului Gorj,OFFICE&MORE,126301,2020-12-21,autoritate non-spital
CAN1047314,MUNICIPIUL BRASOV,CLEANING LOGISTIC DISTRIBUTION,149350,2020-12-21,autoritate non-spital
381612-2020,Județul Brașov,,4342121,2020-12-22,autoritate non-spital
17460-2021,Județul Brașov,Brokmed S.R.L. / HDL Union / Karl Storz Endoscopia Romania / Medist Imaging & P.O.C. S.R.L. / Novomed International S.R.L. / S.C. Medical Gazplus S.R.L.,3647750,2020-12-22,autoritate non-spital
CN1027190,Centrul de Asistenta Medico-Sociala Bacesti,RULTRANS INDUSTRY 93 SRL / PROHEALTH MED,170716,2020-12-22,autoritate non-spital
2610-2021,Jandarmeria Română – UM 0260 București,Med-Al Trading S.R.L.,1723518,2020-12-23,unitate militara fara profil de spital
628955-2020,Department of Contracts,Ducos Trading S.R.L. / Ribi Expert S.R.L. / Smart Medical Solutions S.R.L.,5797992,2020-12-24,autoritate non-spital
629043-2020,Ministerul Apărării – Unitatea Militară 02464 București,ADION PRODIMPEXTRANS S.R.L. / AVENA MEDICA S.R.L. / Dental Vladmed V&M SRL / MEDIMPACT / MEDITECH CMA / OPEN MIND LABORATORY S.R.L. / RICOMED / S.C. NERAMO DISTRIBUTION S.R.L. / X-Lab Solutions S.R.L.,3475320,2020-12-24,unitate militara fara profil de spital
633360-2020,Compania Nationala Aeroporturi Bucuresti SA,,3281500,2020-12-24,entitate privata (SRL/SA)
22063-2021,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Pastel Diagnostic Solutions,33750000,2020-12-24,autoritate non-spital
SCN1075020,UNIVERSITATEA DUNAREA DE JOS,MEDITECH S.R.L.,438152,2020-12-25,autoritate non-spital
CAN1040727,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI IALOMITA,EXPERT IN SECURITATE,93728,2020-12-28,autoritate non-spital
CAN1047688,DIRECTIA DE SANATATE PUBLICA A MUNICIPIULUI BUCURESTI,HUFMED SRL,6400,2020-12-28,autoritate non-spital
CAN1047716,INSPECTORATUL JUDETEAN DE POLITIE BRAILA,TIMAR TRADING IMPEX S.R.L.,31000,2020-12-28,autoritate non-spital
CAN1047723,INSPECTORATUL JUDETEAN DE POLITIE BRAILA,SC East Corp SRL,37000,2020-12-28,autoritate non-spital
CN1024314,Directia generala de asistenta sociala si protectia copilului Cluj,SC EUROPA CONFLOREA SRL,57874,2020-12-28,autoritate non-spital
SCN1075032,Inspectoratul Teritorial al Politiei de Frontiera Iasi,Duplex S.A.,,2020-12-28,autoritate non-spital
21995-2021,JUDETUL SATU MARE,Siemens Healthcare S.R.L.,1105000,2020-12-29,autoritate non-spital
CAN1047811,SERVICIUL DE AMBULANTA TULCEA,Melissa Farm,16352,2020-12-29,autoritate non-spital
CAN1047826,SERVICIUL DE AMBULANTA TULCEA,DEXROM GROUP,117850,2020-12-29,autoritate non-spital
SCN1080616,DIRECTIA DE ASISTENTA SOCIALA SIBIU,MED - AL TRADING SRL / ATLAS MEDICAL,78436,2020-12-29,autoritate non-spital
SCN1075492,UNIVERSITATEA OVIDIUS CONSTANTA,BEAUTY MED SOLUTION,243000,2020-12-30,autoritate non-spital
SCN1080644,"UNIVERSITATEA ""BABES-BOLYAI""",LABORATORIUM S.R.L. / NITECH S.R.L.,195293,2020-12-30,autoritate non-spital
SCN1080679,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR BIHOR,MERC INTERNATIONAL IMPEX S.R.L. / LABORATORIUM S.R.L. / NITECH S.R.L. / LABORSISTEM S.R.L. / ANTISEL RO SRL / COMLIBRIS S.R.L. / S.C. WATT DISTRIBUTOR S.R.L. S.R.L.,408743,2020-12-30,autoritate non-spital
639719-2020,Serviciul de Ambulanță Județean Satu Mare,,1550650,2020-12-31,autoritate non-spital
CN1027330,SERVICIUL DE AMBULANTA JUDETEAN SATU MARE,VALDOMEDICA TRADING / MEDICAL GRUP / MEDIST IMAGING & P.O.C. S.R.L. / TZMO ROMANIA / LUAN VISION / DELUXE MEDICRAFTS,,2020-12-31,autoritate non-spital
CAN1048310,UM 0502 BUCURESTI,RABO LEGACY,512203,2021-01-04,unitate militara fara profil de spital
CN1024165,ACADEMIA DE STIINTE MEDICALE,PHILIPS ROMANIA,377362,2021-01-05,autoritate non-spital
24650-2021,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Dina Med Impex,1050000,2021-01-07,autoritate non-spital
24739-2021,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Demoteks Medikal S.R.L.,27300000,2021-01-07,autoritate non-spital
59056-2021,OFICIUL NATIONAL PENTRU ACHIZITII CENTRALIZATE,Nova Tech Med,4626000,2021-01-07,autoritate non-spital
CN1027390,SERVICIUL DE AMBULANTA JUDETEAN PRAHOVA,DELUXE MEDICRAFTS / LUAN VISION / VETRO DESIGN / VALDOMEDICA TRADING / AVANT MARIS MEDICAL S.R.L. / S.C. DELTAMED S.R.L. / CRIO - 2 S.R.L. / NAFKA GRUP S.R.L. / S.C.MEDICAL GRUP S.R.L. / SANROTEX TRADING SRL / S.C. MEDCLAS TRADING S.R.L. S.R.L. / MEDIST IMAGING & P.O.C. S.R.L. / TOP TRADE MEDICAL / TZMO ROMANIA / CO&CO Consumer 2002 S.R.L. / TAISSIS CONCEPT / HDL Union / S.C. Natural Es-medical S.R.L S.R.L. / DEMOPHORIUS HEALTHCARE SRL / X-Lab Solutions S.R.L. / S.C. TECHTEX S.R.L. / NANO BIO MEDICAL S.R.L. / Pansiprod Distributie,,2021-01-07,autoritate non-spital
SCN1075151,Directia de Asistenta Sociala Medias,ATLAS SPORT,181500,2021-01-07,autoritate non-spital
SCN1075840,INSPECTORATUL SCOLAR JUDETEAN DAMBOVITA,DOLEX COM,190000,2021-01-07,autoritate non-spital
4391-2021,SERVICIUL DE AMBULANTA JUDETEAN PRAHOVA,,1389847,2021-01-08,autoritate non-spital
CAN1048788,SERVICIUL DE AMBULANTA JUDETEAN CONSTANTA,Medical Corp S.R.L.,36000,2021-01-08,autoritate non-spital
CAN1048789,SERVICIUL DE AMBULANTA JUDETEAN CONSTANTA,NOVITRADE S.R.L.,9800,2021-01-08,autoritate non-spital
SCN1080912,SALUBRIS S.A.,SOCIETATEA COOPERATIVA MESTESUGAREASCA DE GRADUL 1 SOLIDARITATEA IASI / INEDIT CLEAN TOTAL / KYNITA S.R.L.,53120,2021-01-11,entitate privata (SRL/SA)
SCN1080933,PRIMARIA MUNICIPIULUI ZALAU,MADCIB COMERT / C&A PHOENIX ART SRL,54471,2021-01-11,autoritate non-spital
413586-2020,ORASUL INEU,,4313076,2021-01-12,autoritate non-spital
CAN1048987,COMPLEXUL MULTIFUNCTIONAL CARAIMAN,NEED FARM,259000,2021-01-12,autoritate non-spital
CAN1048992,ACADEMIA DE STIINTE MEDICALE,PHILIPS ROMANIA SRL,29317,2021-01-12,autoritate non-spital
CAN1049003,ACADEMIA DE STIINTE MEDICALE,PHILIPS ROMANIA SRL,99613,2021-01-12,autoritate non-spital
CAN1049022,ACADEMIA DE STIINTE MEDICALE,SIEMENS HEALTHCARE SRL,309240,2021-01-12,autoritate non-spital
SCN1076081,INSPECTORATUL SCOLAR AL JUDETULUI TULCEA,FLYNG IMPEX S.R.L.,105000,2021-01-12,autoritate non-spital
SCN1076146,INSPECTORATUL SCOLAR JUDETEAN VRANCEA,DOLEX COM,103800,2021-01-12,autoritate non-spital
SCN1080966,Directia Sanitar Veterinara si pentru Siguranta Alimentelor Braila,MEDICLIM S.R.L. / Noack Romania S.R.L.,47500,2021-01-12,autoritate non-spital
SCN1075748,MUNICIPIUL BACAU,Medplaza Health,13200,2021-01-13,autoritate non-spital
